idx,maximum_speed,speed_limit,average_speed,vehicle_class_1,vehicle_class_2,vehicle_class_3,vehicle_class_4,vehicle_class_5,vehicle_class_6,vehicle_class_7,vehicle_class_8,vehicle_class_9,vehicle_class_10,vehicle_class_11,vehicle_class_12,vehicle_class_13,bike,motorcycle,StrType
13585,19,40,13,19,0,0,0,0,0,0,0,0,0,0,0,0,10,0,Council Minor
11887,68,50,34,766,2,25,2,0,2,0,0,1,0,0,0,0,7,8,Arterial
13355,22,40,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Council Minor
14011,20,40,14,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
40542,85,50,50,451,5,42,4,2,0,0,0,2,0,1,0,0,2,7,Arterial
38358,56,50,36,233,2,20,4,0,0,0,0,1,0,0,0,0,2,3,Arterial
14559,18,40,11,5,0,0,0,1,0,0,0,0,0,0,0,0,6,0,Council Minor
38383,62,50,36,412,3,14,8,0,0,0,0,0,0,0,0,0,29,6,Arterial
21065,82,60,46,721,5,54,16,10,0,0,0,2,2,0,0,0,28,5,Arterial
47602,23,20,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
22549,64,60,46,454,0,10,0,0,0,0,0,0,0,0,0,0,4,6,Arterial
14039,18,40,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
15393,25,50,19,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
11729,69,50,49,289,0,3,8,0,0,0,0,0,0,0,0,1,19,0,Arterial
15541,35,50,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
10636,55,50,34,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
38311,80,50,39,464,3,34,5,4,1,1,0,1,0,0,0,0,3,15,Arterial
10316,52,50,34,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
20799,82,60,38,1341,12,144,24,12,3,0,0,8,1,0,0,0,6,33,Arterial
10713,42,50,37,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Council Minor
40524,75,50,54,486,2,9,1,0,0,0,0,0,0,0,1,0,7,10,Arterial
40404,107,50,50,789,5,12,1,1,0,1,0,0,0,0,0,0,36,16,Arterial
40556,76,50,59,40,0,8,0,1,0,0,0,0,1,0,0,0,0,0,Arterial
